sub_category,model_id,brand,total_mentions,n_replicates,BRP@1,BRP@3,BRP@5,MRR,prompt_condition
coffee maker,claude-sonnet-4-6,Breville,40,40,1.0000,1.0000,1.0000,1.0000,context-free
coffee maker,claude-sonnet-4-6,Cuisinart,40,40,0.0000,0.7000,1.0000,0.4142,context-free
coffee maker,claude-sonnet-4-6,De'Longhi,40,40,0.0000,0.8250,1.0000,0.3229,context-free
coffee maker,claude-sonnet-4-6,Hamilton Beach,12,40,0.0000,0.0000,0.3000,0.0600,context-free
coffee maker,claude-sonnet-4-6,Keurig,40,40,0.0000,0.4750,1.0000,0.3438,context-free
coffee maker,claude-sonnet-4-6,Mr. Coffee,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,claude-sonnet-4-6,Nespresso,28,40,0.0000,0.0000,0.7000,0.1425,context-free
coffee maker,claude-sonnet-4-6,Ninja,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,claude-sonnet-4-6,OXO,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,claude-sonnet-4-6,Technivorm,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,9 Lives,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Blue Buffalo,40,40,0.0000,0.0000,1.0000,0.2500,context-free
cat food,gpt-5.5,Fancy Feast,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Friskies,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Hill's Science Diet,40,40,0.1250,1.0000,1.0000,0.5542,context-free
cat food,gpt-5.5,Iams,18,40,0.0000,0.0000,0.4500,0.0900,context-free
cat food,gpt-5.5,Instinct,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Meow Mix,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Merrick,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Orijen,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Purina,40,40,0.6750,1.0000,1.0000,0.7833,context-free
cat food,gpt-5.5,Royal Canin,40,40,0.2000,1.0000,1.0000,0.4958,context-free
cat food,gpt-5.5,Taste of the Wild,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Tiki Cat,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Wellness,22,40,0.0000,0.0000,0.5500,0.1100,context-free
cat food,gpt-5.5,Weruva,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.5,Whiskas,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,9 Lives,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Blue Buffalo,40,40,0.0000,0.0000,1.0000,0.2487,context-free
cat food,gpt-5.4-mini,Fancy Feast,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Friskies,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Hill's Science Diet,40,40,0.0000,1.0000,1.0000,0.4208,context-free
cat food,gpt-5.4-mini,Iams,17,40,0.0000,0.0000,0.4250,0.0863,context-free
cat food,gpt-5.4-mini,Instinct,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Meow Mix,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Merrick,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Orijen,0,40,0.0000,0.0000,0.0000,0.0000,context-free
cat food,gpt-5.4-mini,Purina,40,40,0.8750,1.0000,1.0000,0.9167,context-free
cat food,gpt-5.4-mini,Royal Canin,40,40,0.1250,1.0000,1.0000,0.4958,context-free
cat food,gpt-5.4-mini,Taste of the Wild,0,40,0.0000,0.0000,0.0000,0.0000,context-free
